TEXT,INTEGER,TEXT,NUMERIC(5|2),INTEGER,INTEGER,INTEGER,INTEGER,TEXT,TEXT,TEXT
department,course_number,course_title,semester_hours,fall,spring,summer,winter,equivalent_with,prerequisites,corequisites
CBEN,120,FUNDAMENTALS OF BIOLOGY II,4,,,,,CBEN323,,
CBEN,198,SPECIAL TOPICS,6,,,,,,,
CBEN,199,INDEPENDENT STUDY,,,,,,,,
CBEN,200,COMPUTATIONAL METHODS IN CHEMICAL ENGINEERING,3,1,0,0,0,,,
CBEN,201,MATERIAL AND ENERGY BALANCES,3,,,,,CHEN201,,
CBEN,202,CHEMICAL PROCESS PRINCIPLES LABORATORY,1,1,0,0,0,,,
CBEN,210,INTRO TO THERMODYNAMICS,3,1,1,0,0,,,
CBEN,250,INTRODUCTION TO CHEMICAL ENGINEERING ANALYSIS AND DESIGN,3,,,,,,,
CBEN,298,SPECIAL TOPICS,,,,,,,,
CBEN,299,INDEPENDENT STUDY,,,,,,,,
CBEN,304,ANATOMY AND PHYSIOLOGY,3,,,,,CBEN404,,
CBEN,305,ANATOMY AND PHYSIOLOGY LAB,1,,,,,CBEN405,,
CBEN,307,FLUID MECHANICS,3,1,0,0,0,,,
CBEN,308,HEAT TRANSFER,3,1,0,0,0,,,
CBEN,310,INTRODUCTION TO BIOMEDICAL ENGINEERING,3,,,,,,,
CBEN,311,INTRODUCTION TO NEUROSCIENCE,3,,,,,,,
CBEN,312,UNIT OPERATIONS LABORATORY,3,0,0,1,0,,,
CBEN,313,UNIT OPERATIONS LABORATORY,3,0,0,1,0,,,
CBEN,314,CHEMICAL ENGINEERING HEAT AND MASS TRANSFER,4,1,0,0,0,,,
CBEN,315,INTRODUCTION TO ELECTROCHEMICAL ENGINEERING,3,1,0,0,0,,,
CBEN,320,CELL BIOLOGY AND PHYSIOLOGY,3,,,,,CBEN410,,
CBEN,321,INTRO TO GENETICS,4,1,0,0,0,,,
CBEN,322,BIOLOGICAL PSYCHOLOGY,3,,,,,,,
CBEN,323,GENERAL BIOLOGY II LABORATORY,1,,,,,CBEN120,,
CBEN,324,INTRODUCTION TO BREWING SCIENCE,3,1,0,0,0,,,
CBEN,325,MCAT REVIEW,3,1,0,0,0,,,
CBEN,340,COOPERATIVE EDUCATION,,,,,,,,
CBEN,350,HONORS UNDERGRADUATE RESEARCH,,,,,,,,
CBEN,351,HONORS UNDERGRADUATE RESEARCH,,,,,,,,
CBEN,357,CHEMICAL ENGINEERING THERMODYNAMICS,3,1,0,0,0,,,
CBEN,358,CHEMICAL ENGINEERING THERMODYNAMICS LABORATORY,1,1,0,0,0,,,
CBEN,360,BIOPROCESS ENGINEERING,3,,,,,,,
CBEN,365,INTRODUCTION TO CHEMICAL ENGINEERING PRACTICE,3,1,0,0,0,,,
CBEN,368,INTRODUCTION TO UNDERGRADUATE RESEARCH,1,,,,,,,
CBEN,372,INTRODUCTION TO BIOENERGY,3,,,,,,,
CBEN,375,CHEMICAL ENGINEERING SEPARATIONS,3,1,0,0,0,,,
CBEN,398,SPECIAL TOPICS,,,,,,,,
CBEN,399,INDEPENDENT STUDY,,,,,,,,
CBEN,401,PROCESS OPTIMIZATION,3,,,,,,,
CBEN,402,CHEMICAL ENGINEERING DESIGN,3,1,0,0,0,,,
CBEN,403,PROCESS DYNAMICS AND CONTROL,3,1,0,0,0,,,
CBEN,408,NATURAL GAS PROCESSING,3,,,,,,,
CBEN,409,PETROLEUM PROCESSES,3,1,0,0,0,,,
CBEN,411,"NEUROSCIENCE, MEMORY, AND LEARNING",3,,,,,CBEN511,,
CBEN,412,INTRODUCTION TO PHARMACOLOGY,3,1,0,0,0,,,
CBEN,413,QUANTITATIVE HUMAN BIOLOGY,3,,,,,,,
CBEN,414,CHEMICAL PROCESS SAFETY,1,1,0,0,0,,,
CBEN,415,POLYMER SCIENCE AND TECHNOLOGY,3,,,,,CHGN430&MLGN530,,
CBEN,416,POLYMER ENGINEERING AND TECHNOLOGY,3,,,,,,,
CBEN,418,KINETICS AND REACTION ENGINEERING,3,,,,,,,
CBEN,420,MATHEMATICAL METHODS IN CHEMICAL ENGINEERING,3,,,,,,,
CBEN,422,CHEMICAL ENGINEERING FLOW ASSURANCE,3,1,0,0,0,,,
CBEN,426,ADVANCED FUNCTIONAL POROUS MATERIALS,3,,,,,,,
CBEN,430,TRANSPORT PHENOMENA,3,1,0,0,0,,,
CBEN,431,IMMUNOLOGY FOR ENGINEERS AND SCIENTISTS,3,,,,,,,
CBEN,432,TRANSPORT PHENOMENA IN BIOLOGICAL SYSTEMS,3,,,,,,,
CBEN,435,INTERDISCIPLINARY MICROELECTRONICS,3,,,,,MLGN535&PHGN435&PHGN535,,
CBEN,440,MOLECULAR PERSPECTIVES IN CHEMICAL ENGINEERING,3,,,,,,,
CBEN,450,HONORS UNDERGRADUATE RESEARCH,,,,,,,,
CBEN,451,HONORS UNDERGRADUATE RESEARCH,,,,,,,,
CBEN,454,APPLIED BIOINFORMATICS,3,1,0,0,0,,,
CBEN,455,INTERNATIONAL GENETIC ENGINEERED MACHINE SEMINAR,1,,,,,,,
CBEN,460,BIOCHEMICAL PROCESS ENGINEERING,3,1,0,0,0,,,
CBEN,461,BIOCHEMICAL PROCESS ENGINEERING LABORATORY,1,1,0,0,0,,,
CBEN,469,FUEL CELL SCIENCE AND TECHNOLOGY,3,,,,,MEGN469&MTGN469,,
CBEN,470,INTRODUCTION TO MICROFLUIDICS,3,,,,,,,
CBEN,472,INTRODUCTION TO ENERGY TECHNOLOGIES,3,1,0,0,0,,,
CBEN,480,NATURAL GAS HYDRATES,3,,,,,,,
CBEN,498,SPECIAL TOPICS,,,,,,,,
CBEN,499,INDEPENDENT STUDY,,,,,,,,
CEEN,198,SPECIAL TOPICS,,1,1,0,0,,,
CEEN,199,INDEPENDENT STUDY,,1,1,0,0,,,
CEEN,210,INTRODUCTION TO CIVIL INFRASTRUCTURE,1.5,1,0,0,0,,,
CEEN,241,STATICS,3,,,,,,,
CEEN,267,DESIGN II: CIVIL ENGINEERING,3,,,,,EPIC267,,
CEEN,298,SPECIAL TOPICS,,1,1,0,0,,,
CEEN,299,INDEPENDENT STUDY,,1,1,0,0,,,
CEEN,301,FUNDAMENTALS OF ENVIRONMENTAL ENGINEERING: WATER,3,1,1,0,0,,,
CEEN,302,FUNDAMENTALS OF ENVIRONMENTAL ENGINEERING: AIR AND WASTE MANAGEMENT,3,1,1,0,0,,,
CEEN,303,ENVIRONMENTAL ENGINEERING LABORATORY,3,,,,,ESGN355,,
CEEN,310,FLUID MECHANICS FOR CIVIL AND ENVIRONMENTAL ENGINEERING,3,1,1,0,0,,,
CEEN,311,MECHANICS OF MATERIALS,3,,,,,,,
CEEN,312,SOIL MECHANICS,3,1,1,0,0,,,
CEEN,312,SOIL MECHANICS LABORATORY,1,1,1,0,0,,,
CEEN,314,STRUCTURAL THEORY,3,1,1,0,0,,,
CEEN,315,CIVIL AND ENVIRONMENTAL ENGINEERING TOOLS,1.5,,,,,,,
CEEN,330,"ENGINEERING FIELD SESSION, ENVIRONMENTAL",3,0,0,1,0,,,
CEEN,331,"ENGINEERING FIELD SESSION, CIVIL",3,0,0,1,0,,,
CEEN,340,COOPERATIVE EDUCATION,3,1,1,1,0,,,
CEEN,350,CIVIL AND CONSTRUCTION ENGINEERING MATERIALS,3,,,,,,,
CEEN,360,INTRODUCTION TO CONSTRUCTION ENGINEERING,3,1,0,0,0,,,
CEEN,381,HYDROLOGY AND WATER RESOURCES ENGINEERING,3,,,,,CEEN481&ESGN459,,
CEEN,398,SPECIAL TOPICS IN CIVIL AND ENVIRONMENTAL ENGINEERING,6,1,1,0,0,,,
CEEN,399,INDEPENDENT STUDY,,,,,,,,
CEEN,401,LIFE CYCLE ASSESSMENT,3,,,,,,,
CEEN,402,PROJECT ENGINEERING,3,,,,,,,
CEEN,405,NUMERICAL METHODS FOR ENGINEERS,3,,,,,,,
CEEN,406,FINITE ELEMENT METHODS FOR ENGINEERS,3,,,,,,,
CEEN,410,ADVANCED SOIL MECHANICS,3,,,,,,,
CEEN,411,UNSATURATED SOIL MECHANICS,3,,,,,CEEN512,,
CEEN,415,FOUNDATION ENGINEERING,3,1,1,0,0,,,
CEEN,419,RISK ASSESSMENT IN GEOTECHNICAL ENGINEERING,3,,,,,,,
CEEN,421,HIGHWAY AND TRAFFIC ENGINEERING,3,,,,,,,
CEEN,423,SURVEYING FOR ENGINEERS AND INFRASTRUCTURE DESIGN PRACTICES,3,1,0,0,0,,,
CEEN,425,CEMENTITIOUS MATERIALS FOR CONSTRUCTION,3,,,,,,,
CEEN,426,DURABILITY OF CONCRETE,3,,,,,,,
CEEN,430,ADVANCED STRUCTURAL ANALYSIS,3,1,0,0,0,,,
CEEN,433,MATRIX STRUCTURAL ANALYSIS,3,,,,,CEEN533,,
CEEN,441,INTRODUCTION TO THE SEISMIC DESIGN OF STRUCTURES,3,1,0,0,0,,,
CEEN,442,TIMBER AND MASONRY DESIGN,3,1,0,0,0,,,
CEEN,443,DESIGN OF STEEL STRUCTURES,3,1,1,0,0,,,
CEEN,445,DESIGN OF REINFORCED CONCRETE STRUCTURES,3,1,1,0,0,,,
CEEN,446,STRUCTURAL LOADS,3,,,,,,,
CEEN,460,MOLECULAR MICROBIAL ECOLOGY AND THE ENVIRONMENT,3,1,0,0,0,,,
CEEN,461,FUNDAMENTALS OF ECOLOGY,3,,,,,,,
CEEN,470,WATER AND WASTEWATER TREATMENT PROCESSES,3,,,,,BELS453&EGGN453&ESGN453,,
CEEN,471,WATER AND WASTEWATER TREATMENT SYSTEMS ANALYSIS AND DESIGN,3,1,0,0,0,,,
CEEN,472,ONSITE WATER RECLAMATION AND REUSE,3,1,0,0,0,,,
CEEN,473,HYDRAULIC PROBLEMS,3,,,,,,,
CEEN,475,SITE REMEDIATION ENGINEERING,3,,,,,,,
CEEN,477,SUSTAINABLE ENGINEERING DESIGN,3,1,0,0,0,,,
CEEN,479,AIR POLLUTION,3,1,0,0,0,,,
CEEN,480,CHEMICAL FATE AND TRANSPORT IN THE ENVIRONMENT,3,,,,,ESGN440,,
CEEN,482,HYDROLOGY AND WATER RESOURCES LABORATORY,3,1,0,0,0,,,
CEEN,492,ENVIRONMENTAL LAW,3,,,,,CEEN592&PEGN530,,
CEEN,498,SPECIAL TOPICS IN CIVIL AND ENVIRONMENTAL ENGINEERING,,1,1,0,0,,,
CEEN,499,INDEPENDENT STUDY,,,,,,,,
CHGN,111,INTRODUCTORY CHEMISTRY,3,0,0,1,0,,,
CHGN,121,PRINCIPLES OF CHEMISTRY I,4,,,,,,,
CHGN,122,PRINCIPLES OF CHEMISTRY II (SC1),4,,,,,,,
CHGN,125,MOLECULAR ENGINEERING & MATERIALS CHEMISTRY,4,1,1,0,0,,,
CHGN,198,SPECIAL TOPICS,6,1,1,0,0,,,
CHGN,199,INDEPENDENT STUDY,,1,1,0,0,,,
CHGN,209,INTRODUCTION TO CHEMICAL THERMODYNAMICS,3,,,,,,,
CHGN,221,ORGANIC CHEMISTRY I,3,1,0,1,0,,,
CHGN,222,ORGANIC CHEMISTRY II,3,0,1,1,0,,,
CHGN,223,ORGANIC CHEMISTRY I LABORATORY,1,,,,,,,
CHGN,224,ORGANIC CHEMISTRY II LABORATORY,1,0,1,1,0,,,
CHGN,298,SPECIAL TOPICS,,1,1,0,0,,,
CHGN,299,INDEPENDENT STUDY,,1,1,0,0,,,
CHGN,311,INTRODUCTION TO NANOSCIENCE AND NANOTECHNOLOGY,3,1,0,0,0,,,
