TEXT,INTEGER,TEXT,NUMERIC(5|2),INTEGER,INTEGER,INTEGER,INTEGER,TEXT
department,course_number,course_title,semester_hours,fall,spring,summer,winter,equivalent_with
CBEN,455,INTERNATIONAL GENETIC ENGINEERED MACHINE SEMINAR, 1.0,,,,,
CBEN,460,BIOCHEMICAL PROCESS ENGINEERING, 3.0,1,0,0,0,
CBEN,461,BIOCHEMICAL PROCESS ENGINEERING LABORATORY, 1.0,1,0,0,0,
CBEN,469,FUEL CELL SCIENCE AND TECHNOLOGY, 3.0,,,,,MEGN469&MTGN469
CBEN,470,INTRODUCTION TO MICROFLUIDICS, 3.0,,,,,
CBEN,472,INTRODUCTION TO ENERGY TECHNOLOGIES, 3.0,1,0,0,0,
CBEN,480,NATURAL GAS HYDRATES, 3.0,,,,,
CBEN,498,SPECIAL TOPICS,,,,,,
CBEN,499,INDEPENDENT STUDY,,,,,,
CEEN,198,SPECIAL TOPICS,,1,1,0,0,
CEEN,199,INDEPENDENT STUDY,,1,1,0,0,
CEEN,210,INTRODUCTION TO CIVIL INFRASTRUCTURE, 1.5,1,0,0,0,
CEEN,241,STATICS, 3.0,,,,,
CEEN,267,DESIGN II: CIVIL ENGINEERING, 3.0,,,,,EPIC267
CEEN,298,SPECIAL TOPICS,,1,1,0,0,
CEEN,299,INDEPENDENT STUDY,,1,1,0,0,
CEEN,301,FUNDAMENTALS OF ENVIRONMENTAL ENGINEERING: WATER, 3.0,1,1,0,0,
CEEN,302,FUNDAMENTALS OF ENVIRONMENTAL ENGINEERING: AIR AND WASTE MANAGEMENT, 3.0,1,1,0,0,
CEEN,303,ENVIRONMENTAL ENGINEERING LABORATORY, 3.0,,,,,ESGN355
CEEN,310,FLUID MECHANICS FOR CIVIL AND ENVIRONMENTAL ENGINEERING, 3.0,1,1,0,0,
CEEN,311,MECHANICS OF MATERIALS, 3.0,,,,,
CEEN,312,SOIL MECHANICS, 3.0,1,1,0,0,
CEEN,312,SOIL MECHANICS LABORATORY, 1.0,1,1,0,0,
CEEN,314,STRUCTURAL THEORY, 3.0,1,1,0,0,
CEEN,315,CIVIL AND ENVIRONMENTAL ENGINEERING TOOLS, 1.5,,,,,
CEEN,330,"ENGINEERING FIELD SESSION, ENVIRONMENTAL", 3.0,0,0,1,0,
CEEN,331,"ENGINEERING FIELD SESSION, CIVIL", 3.0,0,0,1,0,
CEEN,340,COOPERATIVE EDUCATION, 3.0,1,1,1,0,
CEEN,350,CIVIL AND CONSTRUCTION ENGINEERING MATERIALS, 3.0,,,,,
CEEN,360,INTRODUCTION TO CONSTRUCTION ENGINEERING, 3.0,1,0,0,0,
CEEN,381,HYDROLOGY AND WATER RESOURCES ENGINEERING, 3.0,,,,,CEEN481&ESGN459
CEEN,398,SPECIAL TOPICS IN CIVIL AND ENVIRONMENTAL ENGINEERING, 6.0,1,1,0,0,
CEEN,399,INDEPENDENT STUDY,,,,,,
CEEN,401,LIFE CYCLE ASSESSMENT, 3.0,,,,,
CEEN,402,PROJECT ENGINEERING, 3.0,,,,,
CEEN,405,NUMERICAL METHODS FOR ENGINEERS, 3.0,,,,,
CEEN,406,FINITE ELEMENT METHODS FOR ENGINEERS, 3.0,,,,,
CEEN,410,ADVANCED SOIL MECHANICS, 3.0,,,,,
CEEN,411,UNSATURATED SOIL MECHANICS, 3.0,,,,,CEEN512
CEEN,415,FOUNDATION ENGINEERING, 3.0,1,1,0,0,
CEEN,419,RISK ASSESSMENT IN GEOTECHNICAL ENGINEERING, 3.0,,,,,
CEEN,421,HIGHWAY AND TRAFFIC ENGINEERING, 3.0,,,,,
